Description,Price,Rating,ReviewCount,Url
Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"₹1,887",3.9 out of 5 stars,364,https://www.amazon.com/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_22?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-22
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹1,188",4.3 out of 5 stars,"4,873",https://www.amazon.com/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_23?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-23
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm","₹1,399",4.1 out of 5 stars,"6,796",https://www.amazon.com/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_24?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-24
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹839,4.2 out of 5 stars,"7,578",https://www.amazon.com/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_25?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-25
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹498,4.3 out of 5 stars,"12,103",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_26?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-26
FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students,₹889,4.2 out of 5 stars,"1,749",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NzExOTI3MjkxMDAzMzM1OjE2NzUzMjQzOTg6c3BfbXRmOjIwMTAwODU1MDk4NTk4OjowOjo&url=%2FFur-Jaden-resistant-Backpack-BM100_Brown%2Fdp%2FB07P5X6NSN%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324398%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Dopenain 27 L Casual/ Laptop Bag/Office School College Teens & Students /Backpack for Men Women Boys with Rain Cover,₹489,3.4 out of 5 stars,19,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NzExOTI3MjkxMDAzMzM1OjE2NzUzMjQzOTg6c3BfbXRmOjIwMDgwMDkwOTE1Mzk4OjowOjo&url=%2FDopenain-Casual-College-Students-Backpack%2Fdp%2FB0BG2V1VJ7%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3DBags%26qid%3D1675324398%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Gear Triumph 26L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,₹769,4.2 out of 5 stars,"5,373",https://www.amazon.com/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ/ref=sr_1_29?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-29
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,₹239,4.0 out of 5 stars,"1,983",https://www.amazon.com/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_30?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-30
Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),₹377,4.3 out of 5 stars,"6,312",https://www.amazon.com/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_31?crid=2M096C61O4MLT&keywords=Bags&qid=1675324398&sprefix=ba%2Caps%2C283&sr=8-31
